HomeTeam,AwayTeam,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult
Everton,Tottenham,D,1,0,H
Fulham,Bolton,H,3,1,H
Leeds,Man City,H,2,0,H
Man United,West Brom,H,0,0,D
Southampton,Middlesbrough,D,0,0,D
Arsenal,Birmingham,H,2,0,H
Aston Villa,Liverpool,A,0,0,D
Newcastle,West Ham,H,0,0,D
Chelsea,Man United,D,2,1,H
Birmingham,Blackburn,A,0,1,A
Bolton,Charlton,A,1,1,D
Liverpool,Southampton,H,1,0,H
Man City,Newcastle,H,1,0,H
Middlesbrough,Fulham,D,1,0,H
Sunderland,Everton,A,0,1,A
Tottenham,Aston Villa,H,1,0,H
West Brom,Leeds,A,0,1,A
West Ham,Arsenal,D,1,0,H
Arsenal,West Brom,H,3,0,H
Charlton,Tottenham,A,0,1,A
Aston Villa,Man City,H,0,0,D
Blackburn,Liverpool,D,1,1,D
Everton,Birmingham,D,0,0,D
Leeds,Sunderland,A,0,0,D
Southampton,Chelsea,D,0,0,D
Birmingham,Leeds,H,1,0,H
Man City,Everton,H,2,1,H
Middlesbrough,Blackburn,H,0,0,D
Sunderland,Man United,D,0,1,A
Tottenham,Southampton,H,1,1,D
West Brom,Fulham,H,0,0,D
West Ham,Charlton,A,0,2,A
Bolton,Aston Villa,H,0,0,D
Liverpool,Newcastle,D,0,0,D
Man United,Middlesbrough,H,1,0,H
Arsenal,Man City,H,2,1,H
Aston Villa,Charlton,H,0,0,D
Blackburn,Chelsea,A,2,1,H
Fulham,Tottenham,H,0,2,A
Liverpool,Birmingham,D,1,0,H
Man United,Bolton,A,0,0,D
Newcastle,Leeds,A,0,1,A
West Ham,West Brom,A,0,1,A
Bolton,Liverpool,A,0,1,A
Charlton,Arsenal,A,0,1,A
Chelsea,Newcastle,H,2,0,H
Everton,Middlesbrough,H,1,1,D
Leeds,Man United,H,0,0,D
Sunderland,Fulham,A,0,1,A
West Brom,Southampton,H,0,0,D
Man City,Blackburn,D,0,1,A
Birmingham,Aston Villa,H,1,0,H
Arsenal,Bolton,H,1,0,H
Liverpool,West Brom,H,0,0,D
Man United,Tottenham,H,0,0,D
Middlesbrough,Birmingham,H,1,0,H
Newcastle,Sunderland,H,2,0,H
West Ham,Man City,D,0,0,D
Aston Villa,Everton,H,1,0,H
Blackburn,Leeds,H,1,0,H
Fulham,Chelsea,D,0,0,D
Birmingham,Newcastle,A,0,1,A
Bolton,Southampton,D,0,0,D
Charlton,Man United,A,1,0,H
Chelsea,West Ham,A,1,1,D
Leeds,Arsenal,A,0,2,A
Man City,Liverpool,A,0,1,A
Sunderland,Aston Villa,H,0,0,D
Tottenham,Middlesbrough,A,0,1,A
West Brom,Blackburn,A,0,0,D
Middlesbrough,Bolton,H,1,0,H
Newcastle,West Brom,H,1,1,D
Southampton,Man City,H,2,0,H
West Ham,Birmingham,A,1,2,A
Aston Villa,Leeds,D,0,0,D
Blackburn,Tottenham,A,0,1,A
Fulham,Charlton,H,1,0,H
Blackburn,Newcastle,H,2,1,H
Everton,Arsenal,H,1,1,D
Fulham,Man United,D,1,0,H
Leeds,Liverpool,A,0,0,D
Man City,Chelsea,A,0,0,D
Sunderland,West Ham,A,0,1,A
West Brom,Birmingham,D,0,0,D
Charlton,Middlesbrough,H,1,0,H
Tottenham,Bolton,H,0,0,D
Aston Villa,Southampton,A,0,0,D
Fulham,West Ham,A,0,0,D
Arsenal,Blackburn,A,1,1,D
Birmingham,Man City,A,0,1,A
Chelsea,West Brom,H,1,0,H
Man United,Aston Villa,D,0,1,A
Middlesbrough,Leeds,D,1,1,D
Newcastle,Charlton,H,1,1,D
Southampton,Fulham,H,2,2,D
West Ham,Everton,A,0,0,D
Bolton,Sunderland,D,0,1,A
Birmingham,Bolton,H,0,0,D
Liverpool,West Ham,H,1,0,H
Man United,Southampton,H,1,1,D
West Brom,Man City,A,0,0,D
Blackburn,Aston Villa,D,0,0,D
Charlton,Sunderland,D,0,1,A
Leeds,Everton,A,0,0,D
Tottenham,Chelsea,D,0,0,D
Arsenal,Newcastle,H,1,0,H
Aston Villa,Fulham,H,1,0,H
Bolton,West Brom,D,0,1,A
Chelsea,Birmingham,H,3,0,H
Everton,Charlton,H,1,0,H
Man City,Man United,H,2,1,H
Middlesbrough,Liverpool,H,0,0,D
Southampton,Blackburn,D,1,0,H
Sunderland,Tottenham,H,0,0,D
West Ham,Leeds,A,1,4,A
Chelsea,Middlesbrough,H,0,0,D
Man City,Charlton,A,0,0,D
Newcastle,Southampton,H,1,1,D
West Brom,Aston Villa,D,0,0,D
Birmingham,Fulham,D,0,0,D
Blackburn,Everton,A,0,1,A
Leeds,Bolton,A,1,1,D
Liverpool,Sunderland,D,0,0,D
Aston Villa,West Ham,H,1,0,H
Everton,West Brom,H,1,0,H
Fulham,Liverpool,H,2,0,H
Man United,Newcastle,H,3,1,H
Middlesbrough,Man City,H,0,0,D
Southampton,Arsenal,H,1,1,D
Sunderland,Birmingham,A,0,0,D
Charlton,Blackburn,H,0,0,D
Arsenal,Aston Villa,H,1,0,H
Birmingham,Tottenham,D,0,0,D
Blackburn,Fulham,H,1,0,H
Chelsea,Sunderland,H,0,0,D
Man City,Bolton,H,1,0,H
West Brom,Middlesbrough,H,0,0,D
Leeds,Charlton,A,1,0,H
Liverpool,Man United,A,0,0,D
Newcastle,Everton,H,0,1,A
West Ham,Southampton,A,0,0,D
Aston Villa,Newcastle,A,0,0,D
Charlton,Liverpool,H,1,0,H
Everton,Chelsea,A,1,2,A
Fulham,Leeds,H,1,0,H
Man United,Arsenal,H,1,0,H
Middlesbrough,West Ham,D,0,0,D
Southampton,Birmingham,H,0,0,D
Tottenham,West Brom,H,2,0,H
Sunderland,Man City,A,0,1,A
Aston Villa,West Brom,H,1,1,D
Charlton,Man City,D,0,0,D
Everton,Blackburn,H,2,1,H
Middlesbrough,Chelsea,D,1,1,D
Southampton,Newcastle,D,0,0,D
Fulham,Birmingham,A,0,1,A
Sunderland,Liverpool,H,1,0,H
Tottenham,Arsenal,D,1,1,D
Arsenal,Middlesbrough,H,1,0,H
Birmingham,Charlton,D,0,1,A
Leeds,Southampton,D,0,0,D
Newcastle,Fulham,H,1,0,H
West Brom,Sunderland,D,2,0,H
West Ham,Bolton,D,1,0,H
Blackburn,Man United,H,1,0,H
Man City,Tottenham,A,1,1,D
Birmingham,Everton,D,1,1,D
Bolton,Newcastle,H,3,1,H
Chelsea,Southampton,D,0,0,D
Liverpool,Blackburn,D,1,0,H
Man City,Aston Villa,H,1,1,D
Middlesbrough,Man United,H,1,0,H
Sunderland,Leeds,A,1,0,H
Tottenham,Charlton,D,0,1,A
West Brom,Arsenal,A,1,0,H
West Ham,Fulham,D,0,0,D
Aston Villa,Middlesbrough,H,1,0,H
Blackburn,West Ham,D,1,1,D
Charlton,West Brom,H,1,0,H
Everton,Bolton,D,0,0,D
Fulham,Man City,A,0,0,D
Leeds,Chelsea,H,2,0,H
Man United,Birmingham,H,1,0,H
Southampton,Sunderland,H,0,0,D
Arsenal,Chelsea,H,1,0,H
Aston Villa,Bolton,H,1,0,H
Blackburn,Middlesbrough,H,0,0,D
Everton,Man City,D,1,1,D
Leeds,Birmingham,H,1,0,H
Man United,Sunderland,H,0,1,A
Chelsea,Charlton,H,3,1,H
Liverpool,Aston Villa,D,1,0,H
Man City,Leeds,H,1,0,H
Middlesbrough,Southampton,D,0,1,A
Sunderland,Blackburn,D,0,0,D
West Brom,Man United,A,1,2,A
West Ham,Newcastle,D,2,1,H
Birmingham,Arsenal,A,0,2,A
Tottenham,Everton,H,1,1,D
Aston Villa,Tottenham,A,0,0,D
Blackburn,Birmingham,D,1,0,H
Charlton,Bolton,D,0,0,D
Everton,Sunderland,H,0,1,A
Leeds,West Brom,D,0,0,D
Man United,Chelsea,H,1,1,D
Newcastle,Man City,H,1,0,H
Southampton,Liverpool,A,0,1,A
Arsenal,West Ham,H,1,1,D
Fulham,Middlesbrough,H,1,0,H
Charlton,West Ham,H,2,1,H
Newcastle,Bolton,H,1,0,H
Bolton,Everton,A,0,2,A
Chelsea,Leeds,H,0,1,A
Middlesbrough,Aston Villa,A,2,2,D
Sunderland,Southampton,A,0,0,D
Liverpool,Arsenal,D,0,1,A
Man City,Fulham,H,1,1,D
Tottenham,Newcastle,A,0,0,D
West Brom,Charlton,A,0,0,D
West Ham,Blackburn,H,0,1,A
Arsenal,Fulham,H,1,1,D
Bolton,Birmingham,H,1,1,D
Chelsea,Tottenham,D,1,1,D
Everton,Leeds,H,0,0,D
Man City,West Brom,A,1,1,D
Southampton,Man United,A,0,2,A
Sunderland,Charlton,A,0,3,A
Aston Villa,Blackburn,H,2,0,H
West Ham,Liverpool,A,0,2,A
Birmingham,Man United,A,0,0,D
Birmingham,Chelsea,A,0,1,A
Blackburn,Southampton,H,1,0,H
Fulham,Aston Villa,H,2,1,H
Leeds,West Ham,H,1,0,H
Liverpool,Middlesbrough,D,0,1,A
Tottenham,Sunderland,H,2,1,H
West Brom,Bolton,D,0,1,A
Man United,Man City,D,1,0,H
Newcastle,Arsenal,D,0,1,A
Fulham,West Brom,H,0,0,D
Bolton,Man United,D,0,0,D
Charlton,Aston Villa,H,0,0,D
Chelsea,Blackburn,A,0,0,D
Everton,Southampton,H,0,1,A
Leeds,Newcastle,A,0,1,A
Sunderland,Middlesbrough,A,0,2,A
Birmingham,Liverpool,H,1,0,H
West Brom,West Ham,A,0,1,A
Tottenham,Fulham,D,1,1,D
Blackburn,Man City,H,1,0,H
Middlesbrough,Everton,D,0,1,A
Newcastle,Chelsea,H,1,1,D
Southampton,West Brom,H,1,0,H
West Ham,Tottenham,H,1,0,H
Arsenal,Charlton,H,2,0,H
Aston Villa,Birmingham,A,0,0,D
Middlesbrough,Newcastle,H,0,0,D
Liverpool,Bolton,H,1,0,H
Aston Villa,Man United,A,0,1,A
Blackburn,Arsenal,H,1,0,H
Charlton,Newcastle,A,0,1,A
Fulham,Southampton,D,1,0,H
Leeds,Middlesbrough,A,1,2,A
Sunderland,Bolton,A,0,0,D
Man City,Birmingham,H,0,0,D
Tottenham,Liverpool,A,0,0,D
West Brom,Chelsea,A,0,1,A
Birmingham,West Brom,H,0,0,D
Man United,Fulham,H,1,0,H
Middlesbrough,Charlton,D,0,1,A
Newcastle,Blackburn,H,1,0,H
Southampton,Aston Villa,D,1,2,A
Arsenal,Everton,H,1,0,H
Liverpool,Leeds,H,2,1,H
Bolton,Tottenham,H,0,0,D
Bolton,Man City,H,1,0,H
Charlton,Leeds,A,1,3,A
Man United,Liverpool,H,1,0,H
Middlesbrough,West Brom,H,1,0,H
Southampton,West Ham,D,1,0,H
Sunderland,Chelsea,A,1,0,H
Tottenham,Birmingham,H,1,0,H
Everton,Newcastle,H,1,1,D
Fulham,Blackburn,A,0,2,A
Birmingham,Sunderland,H,1,0,H
Blackburn,Charlton,H,1,0,H
Chelsea,Bolton,H,0,0,D
Leeds,Tottenham,D,1,2,A
Liverpool,Fulham,H,1,0,H
Newcastle,Man United,A,1,4,A
West Brom,Everton,A,1,2,A
Arsenal,Man United,D,0,1,A
Tottenham,Man City,A,0,2,A
Aston Villa,Chelsea,H,1,0,H
Charlton,Birmingham,A,0,1,A
Everton,Liverpool,A,0,1,A
Fulham,Newcastle,H,0,1,A
Man United,Blackburn,H,2,1,H
Middlesbrough,Arsenal,A,0,0,D
Southampton,Leeds,H,2,0,H
Sunderland,West Brom,A,0,2,A
Birmingham,Southampton,H,0,1,A
Chelsea,Everton,H,1,0,H
Liverpool,Charlton,H,0,0,D
Newcastle,Aston Villa,D,1,0,H
West Brom,Tottenham,A,1,1,D
Leeds,Fulham,H,1,0,H
Birmingham,Middlesbrough,H,2,0,H
Bolton,Arsenal,D,0,0,D
Charlton,Southampton,H,1,0,H
Chelsea,Fulham,D,1,0,H
Everton,Aston Villa,H,0,0,D
Leeds,Blackburn,A,1,1,D
Sunderland,Newcastle,A,0,1,A
West Brom,Liverpool,A,0,1,A
Man City,West Ham,A,0,0,D
Tottenham,Man United,A,0,0,D
Aston Villa,Sunderland,H,0,0,D
Blackburn,West Brom,D,1,0,H
Fulham,Everton,H,2,0,H
Liverpool,Man City,A,0,0,D
Man United,Charlton,H,3,1,H
Middlesbrough,Tottenham,H,3,0,H
Newcastle,Birmingham,H,1,0,H
West Ham,Chelsea,H,0,0,D
Arsenal,Southampton,H,5,1,H
Birmingham,West Ham,D,0,0,D
Bolton,Middlesbrough,H,2,0,H
Charlton,Fulham,A,0,1,A
Chelsea,Liverpool,H,2,1,H
Everton,Man United,A,1,1,D
Leeds,Aston Villa,H,1,1,D
Man City,Southampton,A,0,1,A
Sunderland,Arsenal,A,0,2,A
Tottenham,Blackburn,A,0,2,A
West Brom,Newcastle,D,0,1,A
Birmingham,Tottenham,H,1,0,H
Blackburn,Wolves,H,2,0,H
Fulham,Middlesbrough,H,1,1,D
Leicester,Southampton,D,2,0,H
Man United,Bolton,H,1,0,H
Portsmouth,Aston Villa,H,1,0,H
Charlton,Man City,A,0,2,A
Leeds,Newcastle,D,1,1,D
Liverpool,Chelsea,A,0,1,A
Bolton,Blackburn,D,2,0,H
Chelsea,Leicester,H,2,1,H
Everton,Fulham,H,3,0,H
Man City,Portsmouth,D,0,1,A
Newcastle,Man United,A,1,0,H
Southampton,Birmingham,D,0,0,D
Tottenham,Leeds,H,1,1,D
Wolves,Charlton,A,0,4,A
Aston Villa,Liverpool,D,0,0,D
Middlesbrough,Arsenal,A,0,3,A
Blackburn,Man City,A,1,1,D
Charlton,Everton,D,1,1,D
Leicester,Middlesbrough,D,0,0,D
Portsmouth,Bolton,H,0,0,D
Liverpool,Tottenham,D,0,0,D
Man United,Wolves,H,0,0,D
Aston Villa,Leicester,H,3,0,H
Chelsea,Blackburn,D,1,1,D
Middlesbrough,Leeds,A,0,1,A
Newcastle,Birmingham,A,0,0,D
Tottenham,Fulham,A,0,1,A
Wolves,Portsmouth,D,0,0,D
Man City,Arsenal,A,1,0,H
Southampton,Man United,H,0,0,D
Arsenal,Portsmouth,D,1,1,D
Blackburn,Liverpool,A,1,1,D
Charlton,Man United,A,0,0,D
Chelsea,Tottenham,H,2,1,H
Southampton,Wolves,H,1,0,H
Birmingham,Fulham,D,1,1,D
Man City,Aston Villa,H,0,1,A
Leicester,Leeds,H,2,0,H
Fulham,Man City,D,0,0,D
Leeds,Birmingham,A,0,0,D
Liverpool,Leicester,H,1,0,H
Newcastle,Bolton,D,0,0,D
Portsmouth,Blackburn,A,0,2,A
Tottenham,Southampton,A,0,2,A
Wolves,Chelsea,A,0,2,A
Man United,Arsenal,D,0,0,D
Middlesbrough,Everton,H,1,0,H
Arsenal,Newcastle,H,1,1,D
Birmingham,Portsmouth,H,1,0,H
Bolton,Wolves,D,0,1,A
Leicester,Man United,A,0,3,A
Southampton,Middlesbrough,A,0,1,A
Blackburn,Fulham,A,0,1,A
Charlton,Liverpool,H,2,1,H
Everton,Leeds,H,3,0,H
Man City,Tottenham,D,0,0,D
Fulham,Leicester,H,1,0,H
Liverpool,Arsenal,A,1,1,D
Newcastle,Southampton,H,1,0,H
Portsmouth,Charlton,A,1,0,H
Tottenham,Everton,H,1,0,H
Wolves,Man City,H,0,0,D
Aston Villa,Bolton,D,0,0,D
Middlesbrough,Chelsea,A,0,1,A
Birmingham,Chelsea,D,0,0,D
Arsenal,Chelsea,H,1,1,D
Fulham,Wolves,D,0,0,D
Leeds,Man United,A,0,0,D
Man City,Bolton,H,1,1,D
Portsmouth,Liverpool,H,1,0,H
Birmingham,Aston Villa,D,0,0,D
Leicester,Tottenham,A,1,0,H
Blackburn,Charlton,A,0,1,A
Fulham,Newcastle,A,2,1,H
Bolton,Birmingham,A,0,1,A
Chelsea,Man City,H,1,0,H
Liverpool,Leeds,H,1,1,D
Man United,Fulham,A,1,1,D
Newcastle,Portsmouth,H,2,0,H
Southampton,Blackburn,H,0,0,D
Wolves,Leicester,H,0,3,A
Charlton,Arsenal,D,1,1,D
Everton,Chelsea,A,0,0,D
Leeds,Arsenal,A,0,3,A
Man United,Portsmouth,H,1,0,H
Middlesbrough,Wolves,H,0,0,D
Newcastle,Aston Villa,D,1,1,D
Tottenham,Bolton,A,0,0,D
Fulham,Liverpool,A,1,1,D
Leicester,Blackburn,H,0,0,D
Birmingham,Charlton,A,0,1,A
Arsenal,Tottenham,H,0,1,A
Aston Villa,Middlesbrough,A,0,1,A
Charlton,Fulham,H,1,0,H
Portsmouth,Leeds,H,2,1,H
Wolves,Birmingham,D,0,0,D
Chelsea,Newcastle,H,3,0,H
Man City,Leicester,A,0,1,A
Blackburn,Everton,H,2,0,H
Birmingham,Arsenal,A,0,1,A
Everton,Wolves,H,2,0,H
Leeds,Bolton,A,0,2,A
Leicester,Charlton,D,1,0,H
Man United,Blackburn,H,2,0,H
Middlesbrough,Liverpool,D,0,0,D
Newcastle,Man City,H,0,0,D
Southampton,Chelsea,A,0,0,D
Tottenham,Aston Villa,H,0,0,D
Fulham,Portsmouth,H,2,0,H
Aston Villa,Southampton,H,1,0,H
Blackburn,Tottenham,H,0,0,D
Bolton,Everton,H,1,0,H
Portsmouth,Leicester,A,0,1,A
Wolves,Newcastle,D,1,1,D
Arsenal,Fulham,D,0,0,D
Chelsea,Man United,H,1,0,H
Liverpool,Birmingham,H,1,1,D
Man City,Middlesbrough,A,0,1,A
Birmingham,Blackburn,A,0,0,D
Fulham,Bolton,H,0,0,D
Leeds,Chelsea,D,1,0,H
Man United,Aston Villa,H,2,0,H
Middlesbrough,Portsmouth,D,0,0,D
Newcastle,Liverpool,D,0,1,A
Tottenham,Wolves,H,1,1,D
Everton,Man City,D,0,0,D
Southampton,Charlton,H,2,0,H
Chelsea,Bolton,A,1,1,D
Leicester,Birmingham,A,0,1,A
Liverpool,Southampton,A,0,1,A
Man United,Man City,H,2,0,H
Portsmouth,Everton,A,1,2,A
Arsenal,Blackburn,H,1,0,H
Aston Villa,Wolves,H,2,1,H
Blackburn,Aston Villa,A,0,0,D
Everton,Leicester,H,1,1,D
Fulham,Chelsea,A,0,0,D
Southampton,Portsmouth,H,1,0,H
Tottenham,Man United,A,0,2,A
Man City,Leeds,D,0,1,A
Arsenal,Wolves,H,2,0,H
Birmingham,Man City,H,0,1,A
Blackburn,Middlesbrough,D,1,1,D
Charlton,Chelsea,H,2,1,H
Fulham,Southampton,H,1,0,H
Leeds,Aston Villa,D,0,0,D
Man United,Everton,H,2,1,H
Portsmouth,Tottenham,H,0,0,D
Bolton,Leicester,D,1,1,D
Chelsea,Portsmouth,H,0,0,D
Everton,Birmingham,H,0,0,D
Man City,Liverpool,D,1,0,H
Newcastle,Blackburn,A,0,0,D
Wolves,Leeds,H,1,1,D
Aston Villa,Portsmouth,H,1,0,H
Chelsea,Liverpool,A,0,1,A
Everton,Arsenal,D,0,1,A
Man City,Charlton,D,1,0,H
Newcastle,Leeds,H,1,0,H
Southampton,Leicester,D,0,0,D
Tottenham,Birmingham,H,3,0,H
Wolves,Blackburn,D,0,1,A
Arsenal,Middlesbrough,H,2,0,H
Birmingham,Southampton,H,1,1,D
Blackburn,Bolton,A,3,2,H
Charlton,Wolves,H,1,0,H
Leeds,Tottenham,A,0,0,D
Liverpool,Aston Villa,H,1,0,H
Portsmouth,Man City,H,1,2,A
Leicester,Chelsea,A,0,2,A
Man United,Newcastle,D,0,0,D
Bolton,Portsmouth,H,0,0,D
Man City,Blackburn,D,0,0,D
Middlesbrough,Leicester,D,1,0,H
Wolves,Man United,H,0,0,D
Aston Villa,Arsenal,A,0,1,A
Chelsea,Birmingham,D,0,0,D
Newcastle,Fulham,H,2,0,H
Wolves,Liverpool,D,0,1,A
Birmingham,Newcastle,D,0,1,A
Charlton,Bolton,A,1,1,D
Fulham,Tottenham,H,1,1,D
Leeds,Middlesbrough,A,0,0,D
Leicester,Aston Villa,A,0,0,D
Man United,Southampton,H,2,1,H
Portsmouth,Wolves,D,0,0,D
Blackburn,Chelsea,A,1,2,A
Aston Villa,Leeds,H,1,0,H
Bolton,Liverpool,D,1,0,H
Newcastle,Leicester,H,2,0,H
Southampton,Fulham,D,0,0,D
Tottenham,Portsmouth,H,2,1,H
Wolves,Arsenal,A,1,1,D
Chelsea,Charlton,H,1,0,H
Man City,Birmingham,D,0,0,D
Arsenal,Southampton,H,1,0,H
Leeds,Wolves,H,2,1,H
Leicester,Bolton,D,1,1,D
Birmingham,Everton,H,2,0,H
Blackburn,Newcastle,D,0,0,D
Charlton,Tottenham,A,0,2,A
Fulham,Aston Villa,A,1,2,A
Man United,Middlesbrough,A,1,2,A
Portsmouth,Chelsea,A,0,1,A
Bolton,Man City,A,1,2,A
Charlton,Blackburn,H,2,0,H
Chelsea,Arsenal,A,1,2,A
Newcastle,Middlesbrough,H,0,1,A
Southampton,Everton,D,0,2,A
Wolves,Fulham,H,1,0,H
Aston Villa,Birmingham,D,1,0,H
Tottenham,Leicester,D,3,1,H
Blackburn,Southampton,D,0,1,A
Fulham,Man United,D,0,1,A
Leicester,Wolves,D,0,0,D
Leeds,Liverpool,D,2,2,D
Portsmouth,Newcastle,D,0,1,A
Birmingham,Middlesbrough,H,1,0,H
Birmingham,Bolton,H,1,0,H
Middlesbrough,Tottenham,H,0,0,D
Birmingham,Leicester,A,0,0,D
Blackburn,Arsenal,A,0,0,D
Bolton,Chelsea,A,0,0,D
Everton,Portsmouth,H,0,0,D
Fulham,Leeds,H,0,0,D
Tottenham,Newcastle,H,0,0,D
Wolves,Aston Villa,A,0,3,A
Liverpool,Portsmouth,H,2,0,H
Arsenal,Bolton,H,2,1,H
Aston Villa,Blackburn,A,0,2,A
Liverpool,Wolves,H,0,0,D
Middlesbrough,Birmingham,H,4,2,H
Newcastle,Charlton,H,2,0,H
Portsmouth,Southampton,H,0,0,D
Leeds,Man City,H,1,1,D
Birmingham,Leeds,H,1,1,D
Blackburn,Portsmouth,A,1,1,D
Charlton,Aston Villa,A,1,1,D
Chelsea,Wolves,H,1,1,D
Everton,Middlesbrough,D,0,0,D
Man City,Fulham,D,0,0,D
Arsenal,Man United,D,0,0,D
Bolton,Newcastle,H,1,0,H
Leicester,Liverpool,D,0,0,D
Fulham,Birmingham,D,0,0,D
Newcastle,Everton,H,2,1,H
Wolves,Middlesbrough,H,1,0,H
Aston Villa,Newcastle,D,0,0,D
Everton,Blackburn,A,0,0,D
Leicester,Man City,D,0,1,A
Middlesbrough,Aston Villa,A,1,1,D
Southampton,Bolton,A,1,0,H
Birmingham,Wolves,D,2,1,H
Leeds,Portsmouth,A,0,1,A
Tottenham,Arsenal,D,0,2,A
Arsenal,Birmingham,D,0,0,D
Blackburn,Man United,H,0,0,D
Charlton,Leicester,D,0,1,A
Chelsea,Southampton,H,0,0,D
Man City,Newcastle,H,0,0,D
Portsmouth,Fulham,D,0,0,D
Wolves,Everton,H,0,1,A
Bolton,Leeds,H,0,1,A
Liverpool,Middlesbrough,H,0,0,D
Portsmouth,Arsenal,D,1,0,H
Birmingham,Liverpool,A,0,1,A
Everton,Bolton,A,0,1,A
Leeds,Charlton,D,2,1,H
Leicester,Portsmouth,H,2,0,H
Man United,Chelsea,D,0,1,A
Middlesbrough,Man City,H,2,1,H
Southampton,Aston Villa,D,1,1,D
Blackburn,West Brom,D,0,1,A
Bolton,Charlton,H,2,0,H
Man City,Fulham,D,1,0,H
Middlesbrough,Newcastle,D,0,1,A
Norwich,Crystal Palace,D,1,0,H
Portsmouth,Birmingham,D,1,1,D
Tottenham,Liverpool,D,0,1,A
Everton,Arsenal,A,0,2,A
Birmingham,Chelsea,A,0,0,D
Charlton,Portsmouth,H,1,0,H
Crystal Palace,Everton,A,1,1,D
Liverpool,Man City,H,0,1,A
Man United,Norwich,H,1,0,H
Newcastle,Tottenham,A,0,0,D
Southampton,Blackburn,H,1,0,H
Arsenal,Middlesbrough,H,1,1,D
West Brom,Aston Villa,D,1,1,D
Birmingham,Man City,H,1,0,H
Crystal Palace,Chelsea,A,0,1,A
Arsenal,Blackburn,H,0,0,D
Charlton,Aston Villa,H,2,0,H
Fulham,Middlesbrough,A,0,0,D
Newcastle,Norwich,D,1,0,H
Southampton,Bolton,A,0,2,A
West Brom,Tottenham,D,1,1,D
Aston Villa,Newcastle,H,1,2,A
Blackburn,Man United,D,1,0,H
Chelsea,Southampton,H,2,1,H
Everton,West Brom,H,1,1,D
Man City,Charlton,H,2,0,H
Middlesbrough,Crystal Palace,H,0,0,D
Norwich,Arsenal,A,0,3,A
Man United,Everton,D,0,0,D
Portsmouth,Fulham,H,3,2,H
Aston Villa,Chelsea,D,0,0,D
Bolton,Man United,D,0,1,A
Fulham,Arsenal,A,0,0,D
Liverpool,West Brom,H,2,0,H
Man City,Everton,A,0,0,D
Middlesbrough,Birmingham,H,1,1,D
Newcastle,Blackburn,H,2,0,H
Portsmouth,Crystal Palace,H,1,1,D
Tottenham,Norwich,D,0,0,D
Arsenal,Bolton,D,1,0,H
Birmingham,Charlton,D,0,0,D
Blackburn,Portsmouth,H,0,0,D
Crystal Palace,Man City,A,0,0,D
Norwich,Aston Villa,D,0,0,D
West Brom,Fulham,D,0,0,D
Chelsea,Tottenham,D,0,0,D
Everton,Middlesbrough,H,0,0,D
Southampton,Newcastle,A,0,1,A
Aston Villa,Crystal Palace,D,1,1,D
Bolton,Birmingham,D,1,0,H
Liverpool,Norwich,H,2,0,H
Man City,Arsenal,A,0,1,A
Middlesbrough,Chelsea,A,0,0,D
Newcastle,West Brom,H,0,0,D
Tottenham,Man United,A,0,1,A
Portsmouth,Everton,A,0,0,D
Arsenal,Charlton,H,1,0,H
Blackburn,Aston Villa,D,1,1,D
Everton,Tottenham,A,0,0,D
Norwich,Portsmouth,D,0,1,A
Southampton,Man City,D,0,0,D
West Brom,Bolton,H,0,0,D
Birmingham,Newcastle,D,1,1,D
Chelsea,Liverpool,H,0,0,D
Man United,Middlesbrough,D,0,1,A
Crystal Palace,Fulham,H,0,0,D
Arsenal,Aston Villa,H,2,1,H
Birmingham,Man United,D,0,0,D
Blackburn,Middlesbrough,A,0,0,D
Bolton,Crystal Palace,H,1,0,H
Fulham,Liverpool,A,2,0,H
Man City,Chelsea,H,1,0,H
West Brom,Norwich,D,0,0,D
Charlton,Newcastle,D,0,1,A
Chelsea,Blackburn,H,2,0,H
Crystal Palace,West Brom,H,2,0,H
Norwich,Everton,A,0,2,A
Tottenham,Bolton,A,1,1,D
Man United,Arsenal,H,0,0,D
Middlesbrough,Portsmouth,D,0,1,A
Arsenal,Southampton,D,0,0,D
Birmingham,Crystal Palace,A,0,1,A
Blackburn,Liverpool,D,2,1,H
Charlton,Middlesbrough,A,0,1,A
Everton,Aston Villa,D,1,1,D
Fulham,Tottenham,H,1,0,H
Portsmouth,Man United,H,0,0,D
Bolton,Newcastle,H,0,0,D
Man City,Norwich,D,1,0,H
Aston Villa,Portsmouth,H,3,0,H
Chelsea,Everton,H,0,0,D
Crystal Palace,Arsenal,D,0,0,D
Liverpool,Birmingham,A,0,0,D
Norwich,Blackburn,D,0,0,D
Southampton,West Brom,D,1,2,A
Tottenham,Charlton,A,0,2,A
Middlesbrough,Bolton,D,0,0,D
Newcastle,Fulham,A,0,1,A
Birmingham,Everton,A,0,0,D
Bolton,Aston Villa,A,1,1,D
Charlton,Norwich,H,2,0,H
Fulham,Chelsea,A,0,1,A
Liverpool,Crystal Palace,H,2,1,H
Man City,Blackburn,D,1,0,H
Southampton,Portsmouth,H,1,1,D
Tottenham,Arsenal,A,1,1,D
Newcastle,Man United,A,0,1,A
West Brom,Middlesbrough,A,1,1,D
Arsenal,West Brom,D,0,0,D
Chelsea,Bolton,D,1,0,H
Crystal Palace,Newcastle,A,0,0,D
Everton,Fulham,H,0,0,D
Norwich,Southampton,H,1,1,D
