Season,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards
12,13,0,2,1,2,2,0,2,13,12,8,8,3,9,10,11,2,1,0,0
12,40,27,1,1,1,0,1,0,23,6,18,4,9,4,7,14,1,4,0,0
12,36,17,0,0,1,0,0,1,14,10,11,7,10,6,14,11,2,1,0,0
12,0,43,5,1,2,1,1,1,23,7,17,5,13,5,9,10,0,1,0,0
12,1,29,1,2,0,0,2,0,10,10,4,7,3,4,16,9,5,2,0,0
12,33,26,0,0,1,0,0,1,5,15,3,7,2,10,9,9,2,2,0,0
12,37,44,2,2,1,1,0,2,9,11,4,6,0,1,12,10,1,1,0,0
12,38,39,0,0,1,0,0,1,4,18,2,8,3,4,11,11,1,2,0,0
12,0,24,2,2,1,0,1,0,14,10,6,5,8,6,9,11,3,1,0,0
12,17,42,2,1,2,2,0,2,11,7,4,4,5,2,9,14,0,2,0,0
12,18,43,3,1,2,1,0,2,13,8,6,4,2,8,8,9,2,0,0,0
12,27,36,2,1,2,2,1,2,11,21,7,10,4,8,10,10,2,1,0,0
12,30,40,1,1,1,1,0,2,8,12,4,7,3,6,13,14,4,1,0,0
12,34,13,2,2,1,0,1,0,5,14,2,5,0,6,8,20,1,2,0,0
12,0,37,1,0,2,0,0,1,15,6,9,2,11,1,3,13,0,3,0,0
12,17,1,3,3,1,1,2,0,22,8,13,4,15,2,6,23,1,4,0,0
12,18,27,0,1,0,0,0,1,15,13,8,8,5,8,8,15,1,1,0,0
12,29,13,3,2,2,1,0,2,19,12,13,6,5,4,11,5,2,3,0,0
12,33,30,0,0,1,0,0,1,15,14,7,9,10,8,6,20,2,5,0,0
12,34,38,2,1,2,1,1,1,9,10,5,6,6,8,12,15,1,3,0,0
12,43,39,1,0,2,0,0,1,18,11,9,7,5,3,7,9,1,1,0,0
12,44,36,2,2,1,1,0,2,5,15,3,7,8,5,6,16,0,2,0,0
12,26,24,2,2,1,1,1,1,9,21,5,12,9,10,14,7,2,4,0,0
12,42,40,0,1,0,0,0,1,4,21,3,13,2,17,9,9,1,0,1,0
12,13,44,4,1,2,1,0,2,25,13,17,10,10,6,9,13,1,2,0,0
12,30,18,0,0,1,0,0,1,15,7,8,5,3,4,10,16,2,2,0,0
12,36,26,3,1,2,2,1,2,13,7,7,4,6,6,9,13,1,2,0,0
12,37,34,2,1,2,0,0,1,13,5,10,4,11,3,7,4,2,0,0,0
12,38,0,0,1,0,0,1,0,12,18,7,9,11,2,6,13,3,2,0,1
12,39,33,4,1,2,2,0,2,13,14,12,8,5,2,10,9,1,3,0,0
12,40,29,2,1,2,1,1,1,16,9,9,7,11,5,5,11,0,2,0,0
12,1,43,2,1,2,0,0,1,7,13,2,7,4,10,15,12,3,2,0,0
12,27,17,2,0,2,2,0,2,10,9,6,8,7,6,12,9,0,2,0,0
12,24,42,0,2,0,0,0,1,23,4,14,3,13,5,9,9,1,4,0,0
12,24,39,5,0,2,1,0,2,33,4,18,3,10,1,6,9,0,1,0,0
12,0,1,2,1,2,1,0,2,24,5,14,3,12,3,7,12,1,2,0,0
12,18,37,1,0,2,1,0,2,20,7,9,2,9,4,4,9,1,3,0,0
12,30,17,2,1,2,0,1,0,10,11,9,5,7,5,15,10,1,1,0,0
12,33,27,0,2,0,0,1,0,12,13,5,8,2,4,10,6,0,0,0,0
12,34,44,0,3,0,0,2,0,7,14,1,8,2,9,9,11,1,1,1,0
12,42,38,2,1,2,1,0,2,17,10,7,6,5,5,13,9,2,1,0,0
12,26,13,2,0,2,0,0,1,15,4,11,1,6,6,19,5,3,1,0,0
12,29,36,4,2,2,2,1,2,11,11,5,7,7,3,12,12,0,4,0,0
12,43,40,2,3,0,1,1,1,8,25,6,16,6,12,12,7,4,1,0,0
12,13,42,1,0,2,1,0,2,25,8,19,4,9,7,12,16,1,2,0,0
12,17,34,3,1,2,1,0,2,18,12,12,6,9,10,8,8,1,1,0,0
12,27,30,4,0,2,1,0,2,13,1,10,1,7,3,5,15,0,4,0,0
12,36,33,1,2,0,1,1,1,17,5,9,3,6,3,7,15,1,3,0,0
12,37,43,0,1,0,0,1,0,10,10,2,7,4,2,12,12,1,2,0,0
12,38,18,2,2,1,1,2,0,12,7,6,4,7,3,9,14,1,3,0,0
12,39,29,1,0,2,0,0,1,10,14,7,7,7,7,9,17,0,2,0,0
12,44,24,0,4,0,0,3,0,15,8,11,7,4,3,11,15,2,2,0,0
